Name,Type,County,Population_2010,Area_SqMiles
Lakewood,City,Los Angeles,80048,9.41
Lancaster,City,Los Angeles,156633,94.28
Larkspur,City,Marin,11926,3.03
Lathrop,City,San Joaquin,18023,21.93
Lawndale,City,Los Angeles,32769,1.97
Lemon Grove,City,San Diego,25320,3.88
Lemoore,City,Kings,24531,8.52
Lincoln,City,Placer,42819,20.11
Lindsay,City,Tulare,11768,2.61
Live Oak,City,Sutter,8392,1.87
Livermore,City,Alameda,80968,25.17
Livingston,City,Merced,13058,3.72
Lodi,City,San Joaquin,62134,13.61
Loma Linda,City,San Bernardino,23261,7.52
Lomita,City,Los Angeles,20256,1.91
Lompoc,City,Santa Barbara,42434,11.6
Long Beach,City,Los Angeles,462257,50.29
Loomis,Town,Placer,6430,7.27
Los Alamitos,City,Orange,11449,4.05
Los Altos,City,Santa Clara,28976,6.49
Los Altos Hills,Town,Santa Clara,7922,8.8
Los Angeles,City,Los Angeles,3792621,468.67
Los Banos,City,Merced,35972,9.99
Los Gatos,Town,Santa Clara,29413,11.08
Loyalton,City,Sierra,769,0.36
Lynwood,City,Los Angeles,69772,4.84
Madera,City,Madera,61416,15.79
Malibu,City,Los Angeles,12645,19.78
Mammoth Lakes,Town,Mono,8234,24.87
Manhattan Beach,City,Los Angeles,35135,3.94
Manteca,City,San Joaquin,67096,17.73
Maricopa,City,Kern,1154,1.5
Marina,City,Monterey,19718,8.88
Martinez,City,Contra Costa,35824,12.13
Marysville,City,Yuba,12072,3.46
Maywood,City,Los Angeles,27395,1.18
McFarland,City,Kern,12707,2.67
Mendota,City,Fresno,11014,3.28
Menifee,City,Riverside,77519,46.47
Menlo Park,City,San Mateo,32026,9.79
Merced,City,Merced,78958,23.32
Mill Valley,City,Marin,13903,4.76
Millbrae,City,San Mateo,21532,3.25
Milpitas,City,Santa Clara,66790,13.59
Mission Viejo,City,Orange,93305,17.74
Modesto,City,Stanislaus,201165,36.87
Monrovia,City,Los Angeles,36590,13.6
Montague,City,Siskiyou,1443,1.78
Montclair,City,San Bernardino,36664,5.52
Monte Sereno,City,Santa Clara,3341,1.62
Montebello,City,Los Angeles,62500,8.33
Monterey,City,Monterey,27810,8.47
Monterey Park,City,Los Angeles,60269,7.67
Moorpark,City,Ventura,34421,12.58
Moraga,Town,Contra Costa,16016,9.43
Moreno Valley,City,Riverside,193365,51.27
Morgan Hill,City,Santa Clara,37882,12.88
Morro Bay,City,San Luis Obispo,10234,5.3
Mount Shasta,City,Siskiyou,3394,3.77
Mountain View,City,Santa Clara,74066,12
Murrieta,City,Riverside,103466,33.58
Napa,City,Napa,76915,17.84
National City,City,San Diego,58582,7.28
Needles,City,San Bernardino,4844,30.81
Nevada City,City,Nevada,3068,2.19
Newark,City,Alameda,42573,13.87
Newman,City,Stanislaus,10224,2.1
Newport Beach,City,Orange,85186,23.8
Norco,City,Riverside,27063,13.96
Norwalk,City,Los Angeles,105549,9.71
Novato,City,Marin,51904,27.44
Oakdale,City,Stanislaus,20675,6.04
Oakland,City,Alameda,390724,55.79
Oakley,City,Contra Costa,35432,15.85
Oceanside,City,San Diego,167086,41.23
Ojai,Town,Ventura,7461,4.39
Ontario,City,San Bernardino,163924,49.94
Orange,City,Orange,134616,24.8
Orange Cove,City,Fresno,9078,1.91
Orinda,City,Contra Costa,17643,12.68
Orland,City,Glenn,7291,2.97
Oroville,City,Butte,15546,12.99
Oxnard,City,Ventura,197899,26.89
Pacific Grove,City,Monterey,15041,2.86
Pacifica,City,San Mateo,37234,12.66
Palm Desert,City,Riverside,48445,26.81
Palm Springs,City,Riverside,44552,94.12
Palmdale,City,Los Angeles,152750,105.96
Palo Alto,City,Santa Clara,64403,23.88
Palos Verdes Estates,City,Los Angeles,13438,4.77
Paradise,Town,Butte,26218,18.31
Paramount,City,Los Angeles,54098,4.73
Parlier,City,Fresno,14494,2.19
Pasadena,City,Los Angeles,137122,22.97
Paso Robles,City,San Luis Obispo,29793,19.12
Patterson,City,Stanislaus,20413,5.95
Perris,City,Riverside,68386,31.39
Petaluma,City,Sonoma,57941,14.38
Pico Rivera,City,Los Angeles,62942,8.3
Piedmont,City,Alameda,10667,1.68
Pinole,City,Contra Costa,18390,5.32
Pismo Beach,City,San Luis Obispo,7655,3.6
Pittsburg,City,Contra Costa,63264,17.22
Placentia,City,Orange,50533,6.57
Placerville,City,El Dorado,10389,5.81
Pleasant Hill,City,Contra Costa,33152,7.07
Pleasanton,City,Alameda,70285,24.11
Plymouth,City,Amador,1005,0.93
Point Arena,City,Mendocino,449,1.35
Pomona,City,Los Angeles,149058,22.95
Port Hueneme,City,Ventura,21723,4.45
Porterville,City,Tulare,54165,17.61
Portola,City,Plumas,2104,5.41
Portola Valley,Town,San Mateo,4353,9.09
Poway,City,San Diego,47811,39.08
Rancho Cordova,City,Sacramento,64776,33.51
Rancho Cucamonga,City,San Bernardino,165269,39.85
Rancho Mirage,City,Riverside,17218,24.45
Rancho Palos Verdes,City,Los Angeles,41643,13.46
Rancho Santa Margarita,City,Orange,47853,12.96
Red Bluff,City,Tehama,14076,7.56
Redding,City,Shasta,89861,59.65
Redlands,City,San Bernardino,68747,36.13
Redondo Beach,City,Los Angeles,66747,6.2
Redwood City,City,San Mateo,76815,19.42
Reedley,City,Fresno,24194,5.08
Rialto,City,San Bernardino,99171,22.35
Richmond,City,Contra Costa,103701,30.07
Ridgecrest,City,Kern,27616,20.77
Rio Dell,City,Humboldt,3368,2.28
Rio Vista,City,Solano,7360,6.69
Ripon,City,San Joaquin,14297,5.3
Riverbank,City,Stanislaus,22678,4.09
Riverside,City,Riverside,303871,81.14
Rocklin,City,Placer,56974,19.54
Rohnert Park,City,Sonoma,40971,7
Rolling Hills,City,Los Angeles,1860,2.99
Rolling Hills Estates,City,Los Angeles,8067,3.57
Rosemead,City,Los Angeles,53764,5.16
Roseville,City,Placer,118788,36.22
Ross,Town,Marin,2415,1.56
Sacramento,City,Sacramento,466488,97.92
St. Helena,City,Napa,5814,4.99
Salinas,City,Monterey,150441,23.18
San Anselmo,Town,Marin,12336,2.68
San Bernardino,City,San Bernardino,209924,59.2
San Bruno,City,San Mateo,41114,5.48
San Carlos,City,San Mateo,28406,5.54
San Clemente,City,Orange,63522,18.71
San Diego,City,San Diego,1301617,325.19
San Dimas,City,Los Angeles,33371,15.04
San Fernando,City,Los Angeles,23645,2.37
San Francisco,City and county,San Francisco,805235,46.87
San Gabriel,City,Los Angeles,39718,4.14
San Jacinto,City,Riverside,44199,25.72
San Joaquin,City,Fresno,4001,1.15
San Jose,City,Santa Clara,945942,176.53
San Juan Bautista,City,San Benito,1862,0.71
San Juan Capistrano,City,Orange,34593,14.12
San Leandro,City,Alameda,84950,13.34
San Luis Obispo,City,San Luis Obispo,45119,12.78
San Marcos,City,San Diego,83781,24.37
San Marino,City,Los Angeles,13147,3.77
San Mateo,City,San Mateo,97207,12.13
San Pablo,City,Contra Costa,29139,2.63
San Rafael,City,Marin,57713,16.47
San Ramon,City,Contra Costa,72148,18.06
Sand City,City,Monterey,334,0.56
Sanger,City,Fresno,24270,5.52
Santa Ana,City,Orange,324528,27.27
